Sentence#,Word,Tag
0,17505,HOUSE_NO
0,W,STREET_NAME
0,LIBERTY,STREET_NAME
0,Ln,STREET_NAME
1,13320,HOUSE_NO
1,Watertown,STREET_NAME
1,Plank,STREET_NAME
1,Rd,STREET_NAME
2,1835,HOUSE_NO
2,Capital,STREET_NAME
2,One,STREET_NAME
2,Dr,STREET_NAME
3,201,HOUSE_NO
3,Jefferson,STREET_NAME
3,St,STREET_NAME
3,NW,STREET_NAME
3,Ste,SUITE_NO
3,B,SUITE_NO
4,400,HOUSE_NO
4,Russel,STREET_NAME
4,Ave,STREET_NAME
4,#,SUITE_NO
4,465,SUITE_NO
5,81,HOUSE_NO
5,N,STREET_NAME
5,Paragon,STREET_NAME
5,#,SUITE_NO
5,A,SUITE_NO
6,8971,HOUSE_NO
6,Ox,STREET_NAME
6,Rd,STREET_NAME
6,#,SUITE_NO
6,G,SUITE_NO
7,5616,HOUSE_NO
7,26th,STREET_NAME
7,Ave,STREET_NAME
7,S,STREET_NAME
8,110,HOUSE_NO
8,E,STREET_NAME
8,Strawberry,STREET_NAME
8,Dr,STREET_NAME
8,#,SUITE_NO
8,B100,SUITE_NO
9,402,HOUSE_NO
9,E,STREET_NAME
9,Leota,STREET_NAME
9,St,STREET_NAME
9,Ste,SUITE_NO
9,1,SUITE_NO
10,983,HOUSE_NO
10,Highway,STREET_NAME
10,124,STREET_NAME
10,#,SUITE_NO
10,B,SUITE_NO
11,843,HOUSE_NO
11,Fairview,STREET_NAME
11,Ave,STREET_NAME
11,Ste,SUITE_NO
11,A1,SUITE_NO
12,6001,HOUSE_NO
12,96th,STREET_NAME
12,Ln,STREET_NAME
12,N,STREET_NAME
13,4701,HOUSE_NO
13,N,STREET_NAME
13,Illinois,STREET_NAME
13,St,STREET_NAME
13,#,SUITE_NO
13,T2414,SUITE_NO
14,761,HOUSE_NO
14,Tank,STREET_NAME
14,Battalion,STREET_NAME
14,#,SUITE_NO
14,310,SUITE_NO
15,905,HOUSE_NO
15,E,STREET_NAME
15,2nd,STREET_NAME
15,St,STREET_NAME
15,Ste,SUITE_NO
15,109,SUITE_NO
16,209,HOUSE_NO
16,10th,STREET_NAME
16,Ave,STREET_NAME
16,S,STREET_NAME
16,Ste,SUITE_NO
16,260,SUITE_NO
17,2201,HOUSE_NO
17,Coral,STREET_NAME
17,Way,STREET_NAME
17,#,SUITE_NO
17,0,SUITE_NO
18,11401,HOUSE_NO
18,NW,STREET_NAME
18,12th,STREET_NAME
18,St,STREET_NAME
18,Ste,SUITE_NO
18,103,SUITE_NO
19,10330,HOUSE_NO
19,N,STREET_NAME
19,Meridian,STREET_NAME
19,St,STREET_NAME
19,#,SUITE_NO
19,4120A,SUITE_NO
20,275,HOUSE_NO
20,S,STREET_NAME
20,Aspen,STREET_NAME
20,St,STREET_NAME
20,Bldg,SUITE_NO
20,602,SUITE_NO
21,7000,HOUSE_NO
21,Portage,STREET_NAME
21,Rd,STREET_NAME
21,Bldg,SUITE_NO
21,204-A,SUITE_NO
22,32202,HOUSE_NO
22,Highway,STREET_NAME
22,290,STREET_NAME
22,Bldg,SUITE_NO
22,B,SUITE_NO
23,4500,HOUSE_NO
23,S,STREET_NAME
23,Lancaster,STREET_NAME
23,Rd,STREET_NAME
23,Bldg,SUITE_NO
23,44,SUITE_NO
24,922,HOUSE_NO
24,E,STREET_NAME
24,Brigham,STREET_NAME
24,Rd,STREET_NAME
24,Bldg,SUITE_NO
24,2A,SUITE_NO
25,6200,HOUSE_NO
25,James,STREET_NAME
25,S,STREET_NAME
25,McDonnell,STREET_NAME
25,Blvd,STREET_NAME
25,Bldg,SUITE_NO
25,101,SUITE_NO
26,1901,HOUSE_NO
26,S,STREET_NAME
26,1st,STREET_NAME
26,St,STREET_NAME
26,Bldg,SUITE_NO
26,206,SUITE_NO
27,3m,HOUSE_NO
27,Center,STREET_NAME
27,Bldg,SUITE_NO
27,2242-S-19,SUITE_NO
28,3150,HOUSE_NO
28,Case,STREET_NAME
28,Rd,STREET_NAME
28,Bldg,SUITE_NO
28,H1,SUITE_NO
29,2320,HOUSE_NO
29,Capital,STREET_NAME
29,Cir,STREET_NAME
29,NE,STREET_NAME
29,Bldg,SUITE_NO
29,100,SUITE_NO
30,5470,HOUSE_NO
30,Meridian,STREET_NAME
30,Mark,STREET_NAME
30,Rd,STREET_NAME
30,Bldg,SUITE_NO
30,E,SUITE_NO
