Sentence#,Word,Tag
0,3944,HOUSE_NO
0,Ranch,STREET_NAME
0,Road,STREET_NAME
0,620,STREET_NAME
0,S,STREET_NAME
0,Bldg,SUITE_NO
0,G2,SUITE_NO
0,Ste,SUITE_NO
0,120,SUITE_NO
1,1650,HOUSE_NO
1,E,STREET_NAME
1,Randol,STREET_NAME
1,Mill,STREET_NAME
1,Rd,STREET_NAME
1,Bldg,SUITE_NO
1,5,SUITE_NO
2,3471,HOUSE_NO
2,N,STREET_NAME
2,Salida,STREET_NAME
2,St,STREET_NAME
2,Unit,SUITE_NO
2,10,SUITE_NO
3,630,HOUSE_NO
3,Flushing,STREET_NAME
3,Ave,STREET_NAME
3,Unit,SUITE_NO
3,44,SUITE_NO
4,4989,HOUSE_NO
4,S,STREET_NAME
4,Broadway,STREET_NAME
4,Unit,SUITE_NO
4,A,SUITE_NO
5,350,HOUSE_NO
5,N,STREET_NAME
5,Haverhill,STREET_NAME
5,Rd,STREET_NAME
5,Unit,SUITE_NO
5,100,SUITE_NO
6,300,HOUSE_NO
6,Route,STREET_NAME
6,73,STREET_NAME
6,S,STREET_NAME
6,Unit,SUITE_NO
6,1,SUITE_NO
7,103,HOUSE_NO
7,Hall,STREET_NAME
7,St,STREET_NAME
7,Unit,SUITE_NO
7,104,SUITE_NO
8,170,HOUSE_NO
8,Ahamaka,STREET_NAME
8,Rd,STREET_NAME
8,Unit,SUITE_NO
8,103,SUITE_NO
9,8013,HOUSE_NO
9,S,STREET_NAME
9,Sheridan,STREET_NAME
9,Rd,STREET_NAME
9,Unit,SUITE_NO
9,B,SUITE_NO
10,7697,HOUSE_NO
10,Winchester,STREET_NAME
10,Rd,STREET_NAME
10,#,SUITE_NO
10,T2060,SUITE_NO
11,2726,HOUSE_NO
11,E,STREET_NAME
11,Business,STREET_NAME
11,190,STREET_NAME
11,Ste,SUITE_NO
11,140,SUITE_NO
12,6435,HOUSE_NO
12,Ventura,STREET_NAME
12,Blvd,STREET_NAME
12,Unit,SUITE_NO
12,C-13,SUITE_NO
13,828,HOUSE_NO
13,Boyd,STREET_NAME
13,Rd,STREET_NAME
13,Ste,SUITE_NO
13,105,SUITE_NO
14,171,HOUSE_NO
14,Berkley,STREET_NAME
14,Rd,STREET_NAME
14,#,SUITE_NO
14,I-295,SUITE_NO
15,5526,HOUSE_NO
15,W,STREET_NAME
15,13400,STREET_NAME
15,S,STREET_NAME
15,PMB,STREET_NAME
15,211,SUITE_NO
16,7211,HOUSE_NO
16,E,STREET_NAME
16,Independence,STREET_NAME
16,Blvd,STREET_NAME
16,Ste,SUITE_NO
16,16,SUITE_NO
17,17101,HOUSE_NO
